pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
CA	scaffold-ma1	7900001	8000000	9.594857156564082e-05	96722	4	41689	110066
CA	scaffold-ma1	8000001	8100000	0.0013288696941044186	96647	52	39131	115032
CA	scaffold-ma1	8100001	8200000	0.0036854665740265235	96306	122	33103	126406
CA	scaffold-ma1	8200001	8300000	0.0019442209707696432	96501	58	29832	133338
CA	scaffold-ma1	8300001	8400000	0.0010012322858903265	96090	13	12984	166212
CA	scaffold-ma1	8400001	8500000	0.002319940946957714	94556	44	18966	151180
CA	scaffold-ma1	8500001	8600000	0.0031517495791698004	96296	88	27921	136750
CA	scaffold-ma1	8600001	8700000	0.0028440570288838	96015	77	27074	137882
CA	scaffold-ma1	8700001	8800000	0.0020724529553179144	96481	50	24126	144710
CA	scaffold-ma1	8800001	8900000	0.0041539204636934475	95985	129	31055	129860
CA	scaffold-ma1	8900001	9000000	0.003998902262124123	96406	102	25507	141798
CA	scaffold-ma1	9000001	9100000	0.003651214366852383	96097	135	36974	118246
CA	scaffold-ma1	9100001	9200000	0.003861880963198546	95872	85	22010	147724
CA	scaffold-ma1	9200001	9300000	0.0032590504712410816	96572	37	11353	170438
CA	scaffold-ma1	9300001	9400000	0.002954786196130903	96748	53	17937	157622
CA	scaffold-ma1	9400001	9500000	0.002994803135735048	97288	34	11353	171870
CA	scaffold-ma1	9500001	9600000	0.0025255562236921225	97063	84	33260	127606
CA	scaffold-ma1	9600001	9700000	0.0020932025999779664	96436	19	9077	174718
CA	scaffold-ma1	9700001	9800000	0.0032605822048585613	96627	111	34043	125168
CA	scaffold-ma1	9800001	9900000	0.004119335913119461	96090	198	48066	96048
CA	scaffold-ma1	9900001	10000000	0.005163043478260869	96895	190	36800	120190
CA	scaffold-ma1	10000001	10100000	0.0013737715312268836	97131	65	47315	99632
CA	scaffold-ma1	10100001	10200000	0.0016621467938063162	96192	76	45724	100936
CA	scaffold-ma1	10200001	10300000	0.0034832088064027226	97047	131	37609	118876
CA	scaffold-ma1	10300001	10400000	0.0035454843247201186	96249	184	51897	88704
CA	scaffold-ma1	10400001	10500000	0.0021117296985985793	96509	88	41672	109674
CA	scaffold-ma1	10500001	10600000	9.841066771638045e-05	96690	4	40646	112088
CA	scaffold-ma1	10600001	10700000	0.00013294631184773215	96949	6	45131	103636
CA	scaffold-ma1	10700001	10800000	0.0005560307955517536	96710	26	46760	99900
CA	scaffold-ma1	10800001	10900000	0.0032086324095641013	96480	135	42074	108812
CA	scaffold-ma1	10900001	11000000	0.002967359050445104	96700	139	46843	99714
CA	scaffold-ma1	11000001	11100000	0.002456171977105773	96274	109	44378	103792
CA	scaffold-ma1	11100001	11200000	0.004857832912504117	96298	177	36436	119724
CA	scaffold-ma1	11200001	11300000	0.0027570849129132315	96037	104	37721	116632
CA	scaffold-ma1	11300001	11400000	0.0024289812158785973	95875	105	43228	105294
CA	scaffold-ma1	11400001	11500000	0.002807554874936192	96154	143	50934	90440
CA	scaffold-ma1	11500001	11600000	0.002364737041241014	96268	100	42288	107960
CA	scaffold-ma1	11600001	11700000	0.0028025685676969963	97093	103	36752	120682
CA	scaffold-ma1	11700001	11800000	0.00258732212160414	97161	2	773	192776
CA	scaffold-ma1	11800001	11900000	0.002953426732298372	95774	78	26410	138728
CA	scaffold-ma1	11900001	12000000	0.0029484302853857993	96454	159	53927	85054
CA	scaffold-ma1	12000001	12100000	0.004127670845841427	96505	187	45304	102402
CA	scaffold-ma1	12100001	12200000	0.0011077008284679113	96464	48	43333	106262
CA	scaffold-ma1	12200001	12300000	0.003848620910840282	96901	162	42093	109616
CA	scaffold-ma1	12300001	12400000	0.004045424336116971	96731	140	34607	124248
CA	scaffold-ma1	12400001	12500000	0.003258181126331811	96656	137	42048	109216
CA	scaffold-ma1	12500001	12600000	0.0027318645466873686	96531	139	50881	91300
CA	scaffold-ma1	12600001	12700000	0.002690639078925413	96405	129	47944	96922
CA	scaffold-ma1	12700001	12800000	0.0020557016070051988	96197	104	50591	91212
CA	scaffold-ma1	12800001	12900000	0.00199457147557164	96770	97	48632	96276
CA	scaffold-ma1	12900001	13000000	0.0027367706106793985	96675	137	50059	93232
CA	scaffold-ma1	13000001	13100000	0.0019891145161642877	96697	91	45749	101896
CA	scaffold-ma1	13100001	13200000	0.0020250723240115716	96574	105	51850	89448
CA	scaffold-ma1	13200001	13300000	0.0014510996888003078	97487	83	57198	80578
CA	scaffold-ma1	13300001	13400000	0.000514012425691682	97334	23	44746	105176
CA	scaffold-ma1	13400001	13500000	2.1702330830331178e-05	97124	1	46078	102092
CA	scaffold-ma1	13500001	13600000	0.0005184665589069505	97121	17	32789	128664
CA	scaffold-ma1	13600001	13700000	0.002376049421827974	97057	60	25252	143610
CA	scaffold-ma1	13700001	13800000	0.0023202817484980318	97311	56	24135	146352
CA	scaffold-ma1	13800001	13900000	0.004807300578505663	96095	59	12273	167644
CA	scaffold-ma1	13900001	14000000	0.0036832855870386864	96292	153	41539	109506
CA	scaffold-ma1	14000001	14100000	0.0013287270794578793	96411	5	3763	185296
CA	scaffold-ma1	14100001	14200000	0.004157324364723468	96811	89	21408	150806
CA	scaffold-ma1	14200001	14300000	0.0011416675061280681	96867	34	29781	134172
CA	scaffold-ma1	14300001	14400000	0.003725294056776241	96968	108	28991	135954
CA	scaffold-ma1	14400001	14500000	0.00019605920988138416	96892	4	20402	152980
CA	scaffold-ma1	14500001	14600000	0.003245269220221227	96248	71	21878	148740
CA	scaffold-ma1	14600001	14700000	0.0008170157139355647	96176	30	36719	118914
CA	scaffold-ma1	14700001	14800000	0.003674659999242338	95416	97	26397	138038
CA	scaffold-ma1	14800001	14900000	0.004384939195509822	96423	150	34208	124430
CA	scaffold-ma1	14900001	15000000	0.0029641452431169125	95929	52	17543	156772
CA	scaffold-ma1	15000001	15100000	0.0036570499796830555	97095	171	46759	100672
CA	scaffold-ma1	15100001	15200000	0.0021140648418395518	97056	134	63385	67342
CA	scaffold-ma1	15200001	15300000	0.003353584447144593	96752	69	20575	152354
CA	scaffold-ma1	15300001	15400000	0.0009288747346072187	97180	56	60288	73784
CA	scaffold-ma1	15400001	15500000	0.002185075931388616	97162	120	54918	84488
CA	scaffold-ma1	15500001	15600000	0.0024026674512111403	97508	147	61182	72652
CA	scaffold-ma1	15600001	15700000	0.0033598387277410683	96666	90	26787	139758
CA	scaffold-ma1	15700001	15800000	0.0028077515965646335	97304	153	54492	85624
CA	scaffold-ma1	15800001	15900000	0.003752267854197592	96028	91	24252	143552
CA	scaffold-ma1	15900001	16000000	0.0029635117614373032	96781	96	32394	128774
CA	scaffold-ma1	16000001	16100000	0.003182157779683998	96726	115	36139	121174
CA	scaffold-ma1	16100001	16200000	0.0016960445817432916	97280	28	16509	161542
CA	scaffold-ma1	16200001	16300000	0.0036513849444915723	96929	99	27113	139632
CA	scaffold-ma1	16300001	16400000	0.0035106670267350797	96289	182	51842	88894
CA	scaffold-ma1	16400001	16500000	0.0038275206766414174	96371	143	37361	118020
CA	scaffold-ma1	16500001	16600000	0.0033490937746256896	96575	102	30456	132238
CA	scaffold-ma1	16600001	16700000	0.0025850926324859974	96205	144	55704	81002
CA	scaffold-ma1	16700001	16800000	0.002194276720993932	96986	145	66081	61810
CA	scaffold-ma1	16800001	16900000	0.0021892483580637314	96913	81	36999	119828
CA	scaffold-ma1	16900001	17000000	0.0015271440543812272	97075	82	53695	86760
CA	scaffold-ma1	17000001	17100000	0.0011848965190373374	96285	45	37978	116614
CA	scaffold-ma1	17100001	17200000	0.0021748943329640115	97212	53	24369	145686
CA	scaffold-ma1	17200001	17300000	0.004201407688142935	96766	194	46175	101182
CA	scaffold-ma1	17300001	17400000	0.002406199021207178	96852	59	24520	144664
CA	scaffold-ma1	17400001	17500000	0.004882609599002701	97200	47	9626	175148
CA	scaffold-ma1	17500001	17600000	0.0012155163301976535	97190	23	18922	156536
CA	scaffold-ma1	17600001	17700000	0.0028235476135220856	96912	146	51708	90408
CA	scaffold-ma1	17700001	17800000	0.0022811405702851425	97260	114	49975	94570
CA	scaffold-ma1	17800001	17900000	0.002306579616091325	96789	118	51158	91262
CA	scaffold-ma1	17900001	18000000	0.0016720696126940795	97236	49	29305	135862
CA	scaffold-ma1	18000001	18100000	0.0022541226717285564	96770	57	25287	142966
CA	scaffold-ma1	18100001	18200000	0.003392764410593734	96218	98	28885	134666
CA	scaffold-ma1	18200001	18300000	0.004153423865934701	96722	115	27688	138068
CA	scaffold-ma1	18300001	18400000	0.0049268483191636375	97370	164	33287	128166
CA	scaffold-ma1	18400001	18500000	0.002352538603019804	96804	110	46758	100092
CA	scaffold-ma1	18500001	18600000	0.003877521299060657	97358	213	54932	84852
CA	scaffold-ma1	18600001	18700000	0.0024267159363538593	96698	88	36263	120870
CA	scaffold-ma1	18700001	18800000	0.003668149535627878	97570	94	25626	143888
CA	scaffold-ma1	18800001	18900000	0.002996372811859328	97214	190	63410	67608
CA	scaffold-ma1	18900001	19000000	0.0031967525053913483	96741	126	39415	114652
CA	scaffold-ma1	19000001	19100000	0.0018718289739421703	96099	38	20301	151596
CA	scaffold-ma1	19100001	19200000	0.002763101961498755	96312	91	32934	126756
CA	scaffold-ma1	19200001	19300000	9.612149757293218e-05	96315	4	41614	109402
CA	scaffold-ma1	19300001	19400000	3.6934441366574334e-05	97034	2	54150	85768
CA	scaffold-ma1	19400001	19500000	2.0946795140343527e-05	97220	1	47740	98960
CA	scaffold-ma1	19500001	19600000	1.8072398026494135e-05	96539	1	55333	82412
CA	scaffold-ma1	19600001	19700000	7.233927118184284e-05	97601	4	55295	84612
CA	scaffold-ma1	19700001	19800000	0.0025431367499356167	96195	79	31064	130262
CA	scaffold-ma1	19800001	19900000	0.00019977525284055436	96035	8	40045	111980
CA	scaffold-ma1	19900001	20000000	0.0012592933426973094	96805	52	41293	111024
CA	scaffold-ma1	20000001	20100000	0	97630	0	0	195260
CA	scaffold-ma1	20100001	20200000	9.279881217520415e-05	97732	1	10776	173912
CA	scaffold-ma1	20200001	20300000	4.074647542987532e-05	97456	1	24542	145828
CA	scaffold-ma1	20300001	20400000	0.0	97060	0	22773	148574
CA	scaffold-ma1	20400001	20500000	0.0006142506142506142	96217	25	40700	111034
CA	scaffold-ma1	20500001	20600000	0.002655625356938892	96414	93	35020	122788
CA	scaffold-ma1	20600001	20700000	0.0022831635925194323	97075	89	38981	116188
CA	scaffold-ma1	20700001	20800000	0.0029278631987354506	97445	163	55672	83546
CA	scaffold-ma1	20800001	20900000	0.0028129653803018882	96799	153	54391	84816
CA	scaffold-ma1	20900001	21000000	0.0025635969236836916	97257	117	45639	103236
CA	scaffold-ma1	21000001	21100000	0.0020004112995195274	97154	107	53489	87330
CA	scaffold-ma1	21100001	21200000	0.00138730210543496	97372	68	49016	96712
CA	scaffold-ma1	21200001	21300000	0.0022686663052861934	97048	113	49809	94478
CA	scaffold-ma1	21300001	21400000	0.00155738145104989	97076	29	18621	156910
CA	scaffold-ma1	21400001	21500000	0.001773231031543052	97174	104	58650	77048
CA	scaffold-ma1	21500001	21600000	0.001126866372429336	96755	60	53245	87020
CA	scaffold-ma1	21600001	21700000	0.0013729977116704805	97489	84	61180	72618
CA	scaffold-ma1	21700001	21800000	0.001826283877565929	97624	25	13689	167870
CA	scaffold-ma1	21800001	21900000	0.0019584600319538215	96819	114	58209	77220
CA	scaffold-ma1	21900001	22000000	0.003247790437653072	96927	122	37564	118726
CA	scaffold-ma1	22000001	22100000	0.0029719367499262688	96665	131	44079	105172
CA	scaffold-ma1	22100001	22200000	0.002274743889650722	96769	141	61985	69568
CA	scaffold-ma1	22200001	22300000	0.0004456162501392551	95964	24	53858	84212
CA	scaffold-ma1	22300001	22400000	1.939713698258137e-05	96637	1	51554	90166
CA	scaffold-ma1	22400001	22500000	3.587572648346129e-05	97380	2	55748	83264
CA	scaffold-ma1	22500001	22600000	6.972163636680553e-05	97278	4	57371	79814
CA	scaffold-ma1	22600001	22700000	6.635039644361875e-05	97333	4	60286	74094
CA	scaffold-ma1	22700001	22800000	3.1607560528478414e-05	97427	2	63276	68302
CA	scaffold-ma1	22800001	22900000	0.00038019009504752376	97377	19	49975	94804
CA	scaffold-ma1	22900001	23000000	0.0018842616249361266	97394	59	31312	132164
CA	scaffold-ma1	23000001	23100000	0.0022028505262365146	96709	117	53113	87192
CA	scaffold-ma1	23100001	23200000	0.0020558235154582113	97418	78	37941	118954
CA	scaffold-ma1	23200001	23300000	0.004115545892219289	96633	53	12878	167510
CA	scaffold-ma1	23300001	23400000	0.005188722564055469	97376	113	21778	151196
CA	scaffold-ma1	23400001	23500000	0.0032319767825341335	97509	98	30322	134374
CA	scaffold-ma1	23500001	23600000	0.0047236737377582445	96480	273	57794	77372
CA	scaffold-ma1	23600001	23700000	4.3645251396648046e-05	96877	1	22912	147930
CA	scaffold-ma1	23700001	23800000	3.8429021597110135e-05	97339	1	26022	142634
CA	scaffold-ma1	23800001	23900000	0.002081144427382203	97384	103	49492	95784
CA	scaffold-ma1	23900001	24000000	0.002443762140484993	97279	117	47877	98804
CA	scaffold-ma1	24000001	24100000	0.0020678862848839377	97309	111	53678	87262
CA	scaffold-ma1	24100001	24200000	0.002103602419142782	97613	32	15212	164802
CA	scaffold-ma1	24200001	24300000	0.0011668920890020422	97322	44	37707	119230
CA	scaffold-ma1	24300001	24400000	0.0008335764598007752	97586	20	23993	147186
CA	scaffold-ma1	24400001	24500000	0.004384591293454432	93265	140	31930	122670
CA	scaffold-ma1	24500001	24600000	0.002030779770497419	96620	83	40871	111498
CA	scaffold-ma1	24600001	24700000	0.004536650015292079	97125	89	19618	155014
CA	scaffold-ma1	24700001	24800000	0.0025066654513137207	96947	110	43883	106128
CA	scaffold-ma1	24800001	24900000	0.0031307325424972483	96810	128	40885	111850
CA	scaffold-ma1	24900001	25000000	0.0019818098170364864	97615	56	28257	138716
CA	scaffold-ma1	25000001	25100000	0.0022774720060732587	97217	36	15807	162820
CA	scaffold-ma1	25100001	25200000	0.0004301630317890481	97286	10	23247	148078
CA	scaffold-ma1	25200001	25300000	0.0010598358152652284	97832	59	55669	84326
CA	scaffold-ma1	25300001	25400000	0.0033215627469001434	96637	206	62019	69236
CA	scaffold-ma1	25400001	25500000	0.0020686298369432953	96792	119	57526	78532
CA	scaffold-ma1	25500001	25600000	0.001849912739965096	97125	106	57300	79650
CA	scaffold-ma1	25600001	25700000	0.0017635370094386488	96775	71	40260	113030
CA	scaffold-ma1	25700001	25800000	0.002184833149707755	96899	117	53551	86696
CA	scaffold-ma1	25800001	25900000	0.001705182129691281	97195	105	61577	71236
CA	scaffold-ma1	25900001	26000000	0.0012749294235497677	96743	56	43924	105638
CA	scaffold-ma1	26000001	26100000	0.00013214403700033037	96701	2	15135	163132
CA	scaffold-ma1	26100001	26200000	0.0013049151805132667	96854	39	29887	133934
CA	scaffold-ma1	26200001	26300000	9.187798603454613e-05	96864	2	21768	150192
CA	scaffold-ma1	26300001	26400000	0.002439866497870871	96544	106	43445	106198
CA	scaffold-ma1	26400001	26500000	0.0011948051948051947	97195	23	19250	155890
CA	scaffold-ma1	26500001	26600000	0.0013554024748054598	96991	85	62712	68558
CA	scaffold-ma1	26600001	26700000	0.004663965134949155	96027	122	26158	139738
CA	scaffold-ma1	26700001	26800000	0.0016351963096201182	97177	95	58097	78160
CA	scaffold-ma1	26800001	26900000	0.0029226866659313997	96954	53	18134	157640
CA	scaffold-ma1	26900001	27000000	0.002884028377155127	97050	137	47503	99094
CA	scaffold-ma1	27000001	27100000	0.0016467456189705096	97563	120	72871	49384
CA	scaffold-ma1	27100001	27200000	0.0009973238476754043	97495	60	60161	74668
CA	scaffold-ma1	27200001	27300000	0.0018759714852334246	96554	105	55971	81166
CA	scaffold-ma1	27300001	27400000	0.0019440906348461486	96498	116	59668	73660
CA	scaffold-ma1	27400001	27500000	0.0016277807921866521	97854	99	60819	74070
CA	scaffold-ma1	27500001	27600000	0.002565191817528266	97218	157	61204	72028
CA	scaffold-ma1	27600001	27700000	0.0012721671290406634	97401	83	65243	64316
CA	scaffold-ma1	27700001	27800000	0.001674066525948031	97296	92	54956	84680
CA	scaffold-ma1	27800001	27900000	0.0018066274702461134	96347	114	63101	66492
CA	scaffold-ma1	27900001	28000000	0.0020227725033441	97479	124	61302	72354
CA	scaffold-ma1	28000001	28100000	0.0021211554058269385	97371	136	64116	66510
CA	scaffold-ma1	28100001	28200000	0.002140071105588347	97098	124	57942	78312
CA	scaffold-ma1	28200001	28300000	0.0015739679389574174	96988	92	58451	77074
CA	scaffold-ma1	28300001	28400000	0.0012733446519524619	96884	75	58900	75968
CA	scaffold-ma1	28400001	28500000	0.002368275480569769	97473	137	57848	79250
CA	scaffold-ma1	28500001	28600000	0.001956824621550118	96947	125	63879	66136
CA	scaffold-ma1	28600001	28700000	0.0007450003492189137	97728	32	42953	109550
CA	scaffold-ma1	28700001	28800000	0.0025131880163232804	93628	101	40188	106880
CA	scaffold-ma1	28800001	28900000	0.001953592952321274	97329	106	54259	86140
CA	scaffold-ma1	28900001	29000000	0.003349859305909152	97551	25	7463	180176
CA	scaffold-ma1	29000001	29100000	0.00024661781285231115	97365	7	28384	137962
CA	scaffold-ma1	29100001	29200000	0.0018055742302299227	97044	94	52061	89966
CA	scaffold-ma1	29200001	29300000	0.0015403573629081946	97226	80	51936	90580
CA	scaffold-ma1	29300001	29400000	0.004747117115335166	96495	240	50557	91876
CA	scaffold-ma1	29400001	29500000	0.00042849491162292447	97107	12	28005	138204
CA	scaffold-ma1	29500001	29600000	0.0031209642703400775	96953	29	9292	175322
CA	scaffold-ma1	29600001	29700000	0.0018670389111847844	97129	107	57310	79638
CA	scaffold-ma1	29700001	29800000	0.001876711541775982	96967	98	52219	89496
CA	scaffold-ma1	29800001	29900000	0.0012655557899177389	96666	6	4741	183850
CA	scaffold-ma1	29900001	30000000	0.003249352484106428	96431	69	21235	150392
CA	scaffold-ma1	30000001	30100000	0.0026001540832049307	96940	108	41536	110808
CA	scaffold-ma1	30100001	30200000	0.0011714174150722373	97203	51	43537	107332
CA	scaffold-ma1	30200001	30300000	0	96981	0	0	193962
CA	scaffold-ma1	30300001	30400000	0.0035687453042824945	96398	114	31944	128908
CA	scaffold-ma1	30400001	30500000	0.0024436413698158666	96237	71	29055	134364
CA	scaffold-ma1	30500001	30600000	0.0009074616030309218	96755	40	44079	105352
CA	scaffold-ma1	30600001	30700000	0.003523714816896537	95580	163	46258	98644
CA	scaffold-ma1	30700001	30800000	0.0038273510870963593	96206	119	31092	130228
CA	scaffold-ma1	30800001	30900000	0.004444768289128534	95873	61	13724	164298
CA	scaffold-ma1	30900001	31000000	0.003975081578166716	97023	201	50565	92916
CA	scaffold-ma1	31000001	31100000	0.004656667266973681	96053	181	38869	114368
CA	scaffold-ma1	31100001	31200000	0.004826114873961764	96094	233	48279	95630
CA	scaffold-ma1	31200001	31300000	0.0031919275123558485	96042	155	48560	94964
CA	scaffold-ma1	31300001	31400000	0.003524570500636637	96998	191	54191	85614
CA	scaffold-ma1	31400001	31500000	0.0037261210171401567	96461	205	55017	82888
CA	scaffold-ma1	31500001	31600000	0.0018737199877990327	96444	86	45898	101092
CA	scaffold-ma1	31600001	31700000	0.000496661332156062	97267	9	18121	158292
CA	scaffold-ma1	31700001	31800000	0.000325497287522604	96769	9	27650	138238
CA	scaffold-ma1	31800001	31900000	0.0009369144284821987	97194	18	19212	155964
CA	scaffold-ma1	31900001	32000000	0.0008214165702124482	97286	44	53566	87440
CA	scaffold-ma1	32000001	32100000	0.003436426116838488	97227	75	21825	150804
CA	scaffold-ma1	32100001	32200000	0.0008165645960921551	96152	14	17145	158014
CA	scaffold-ma1	32200001	32300000	0.0011100832562442183	96867	6	5405	182924
CA	scaffold-ma1	32300001	32400000	0.002077673006233019	96799	78	37542	118514
CA	scaffold-ma1	32400001	32500000	0.0009587727708533077	97463	10	10430	174066
CA	scaffold-ma1	32500001	32600000	0.0016763288398407487	96898	48	28634	136528
CA	scaffold-ma1	32600001	32700000	0.0008638686919588222	97063	12	13891	166344
CA	scaffold-ma1	32700001	32800000	0.0017132951705232605	97490	85	49612	95756
CA	scaffold-ma1	32800001	32900000	0.0007559897650616423	96342	13	17196	158292
CA	scaffold-ma1	32900001	33000000	0.0017958549725768092	96446	37	20603	151686
CA	scaffold-ma1	33000001	33100000	0.0015765705582128637	96420	59	37423	117994
CA	scaffold-ma1	33100001	33200000	0.00208157048569978	97633	123	59090	77086
CA	scaffold-ma1	33200001	33300000	0.001925472873485106	97467	102	52974	88986
CA	scaffold-ma1	33300001	33400000	0.0016502396238357898	97464	73	44236	106456
CA	scaffold-ma1	33400001	33500000	0.0026968605249614	97005	131	48575	96860
CA	scaffold-ma1	33500001	33600000	0.004491978609625668	96704	21	4675	184058
CA	scaffold-ma1	33600001	33700000	0.00399180062574172	96630	37	9269	174722
CA	scaffold-ma1	33700001	33800000	0.00201050385688495	96883	49	24372	145022
CA	scaffold-ma1	33800001	33900000	0.0014822995989071674	96961	51	34406	125110
CA	scaffold-ma1	33900001	34000000	0.0018466120625465377	97121	62	33575	127092
CA	scaffold-ma1	34000001	34100000	0.0013299005984552692	97037	78	58651	76772
CA	scaffold-ma1	34100001	34200000	0.002072820565098459	97088	122	58857	76462
